user_id,username,password,plain_password,email,role,is_active,last_login,created_at
1,tea_dani.johnso,10cfd6c5f298f9292649bc078d327bd617c8a88fe48df42533f82e4c36b57098,n>sW2>vhmT8w,tea_dani.johnso@rice-lopez.org,teacher,True,2025-03-31 13:15:59.066419,2023-09-11 19:02:54.843818
2,tea_josh.doyle,a7d1117daf4b5ed174c1c6e96c2a42cff8d14e67483339cc1a7003033abf32c2,",R+3t|ZFepEY",tea_josh.doyle@murray.org,teacher,True,2024-11-13 10:12:17.615438,2025-02-01 06:19:26.960526
3,tea_eric.miller,19d3c9051845079b8cc4df051cc86cd6ccf19c670ab8df292a67c46f8a143d82,",W/<.l7,W",tea_eric.miller@schaefer-cochran.com,teacher,True,2025-02-18 11:07:41.643404,2022-12-16 12:41:18.115425
4,tea_robe.robins,4146b33ffe1b3828e90a4487265327f630f1f014517dfbaef13751e21e97356e,c+__9J/m+x,tea_robe.robins@hodges-moore.biz,teacher,True,,2025-04-14 17:35:10.646375
5,tea_will.johnso,4c60d165772f25c08f1946c45ff6cdc4a42c25706e13ce5386136d64260de81e,A.px[/xa)5O,tea_will.johnso@miller.com,teacher,True,2024-12-23 06:19:30.267071,2022-12-20 16:51:51.342285
6,tea_jame.santos,bf9f52f5f09ab5ddcc967dbba9e56a8944b8a20643ac3313bd5bb7a044e213cf,MU*v2.aFM,tea_jame.santos@peterson.com,teacher,True,2024-12-01 07:44:20.299977,2024-03-02 19:25:32.471531
7,tea_amy.robins,3d4f822a475353572747824bd7826c57c0aa7b73181bebcca135f928ee3e5256,.&4r_!/O%T,tea_amy.robins@flowers-miller.com,teacher,True,2024-11-30 16:58:22.632190,2025-01-01 03:35:00.772956
8,tea_brid.smith,1d416cb09a021cc86c00a39edbc3107cf46e0fe0fd1e0df640cf177456ac92e2,"}2j(GHW,",tea_brid.smith@rojas.org,teacher,True,2024-12-20 08:53:52.270854,2022-11-03 14:11:03.135713
9,tea_lind.wolfe,8b4d852d2eed2bcc9edcee90c0aeb1663964f45c75a6fd82a5a2b730f9f8d623,G>2/s&Aj,tea_lind.wolfe@griffin.com,teacher,True,2024-09-16 10:57:09.944144,2022-10-13 15:27:32.792693
10,tea_matt.bernar,edcac2a439fa5fe807f5b0674be8031628e9b3692d5eea6c9b45b317d24fba81,V-.:$]u1t,tea_matt.bernar@middleton-richards.com,teacher,True,2025-02-28 19:15:57.363487,2023-06-18 03:00:41.943965
11,tea_matt.davis,8e45eba10fb387420f91372ad681c20b69c639273bb30651fb8cfff5e6da1b8f,d]FjIp&o?(0,tea_matt.davis@calderon.com,teacher,True,2025-02-03 18:12:40.066960,2023-09-25 20:20:37.138199
12,tea_mela.munoz,6fcae6330875357257718db9fdf4aa6e252eb0e665ffd08b1f96e2dd6c294177,XxS>&([Z9+,tea_mela.munoz@smith.com,teacher,True,2025-01-05 02:20:49.612789,2022-05-26 13:49:52.482396
13,tea_lind.herrer,6827733c777d60b0bb9f59aa8cc27e9707e8217763cd3c390f0738c60803f298,>]1`6x4T7#KJ,tea_lind.herrer@martinez.com,teacher,True,2024-05-07 23:31:50.889167,2025-03-19 23:09:47.791589
14,tea_tere.arnold,34ac351d908c8475d9b94a244338741cc87875c85986d8239f126bd51b6320be,N;lN0Ol;k,tea_tere.arnold@martinez.com,teacher,True,2024-12-26 05:31:45.217893,2023-04-15 00:06:09.376020
15,tea_mari.montgo,e5e23f378e5c7fda09ac8dc9f98964d82f64b4ecdf92118189aabaea4cbef04c,2>$r9@$?,tea_mari.montgo@sanchez.com,teacher,False,2024-11-29 19:19:18.396146,2024-05-29 19:52:55.083312
16,tea_mich.ray,f4ae9b8de8ea5cc8ab47773661fd7e6da8e0eeea6dac74457b9d3c479517ef98,Zb{ya2~&,tea_mich.ray@mckenzie-salinas.net,teacher,True,2025-01-21 02:40:32.941381,2022-06-20 11:51:56.732162
17,tea_jane.perez,4a06d9b69c6502b8adb00a23a5de059ce6ff069208114472c8d6d901c24418d0,?]f]5v>^CwjU,tea_jane.perez@brown-taylor.com,teacher,True,2025-01-20 04:21:54.337058,2022-12-17 01:08:14.499962
18,tea_keit.miller,e1de6840bce944b8b5617acfc1179c3ea99e4a34a55775055e735071d52bbd14,2@WvVoR>,tea_keit.miller@bullock.net,teacher,True,2024-11-01 09:32:05.321809,2023-06-24 02:13:19.618294
19,tea_jess.garcia,cb803a264872a8fb7feb1e6c8c6d629530d070767ca6b57296c0e1a668edffa9,LM9LHBa|,tea_jess.garcia@taylor-gonzales.com,teacher,True,2025-01-11 06:14:52.836564,2023-11-14 03:07:51.284235
20,tea_josh.diaz,fb7f99dbfa9a3cb306613c057be6f7673ad9aa9f5d5b2d6ba3e7958087947ce2,:$e7}!hTa{,tea_josh.diaz@morales.org,teacher,True,2024-05-26 05:06:12.946891,2022-05-12 11:37:38.743700
21,tea_mitc.clark,560f306b8a9687fce4aa36653338f66d3e12f2a8b1c2e4ded996456d4d8330ad,!zk^$t0p,tea_mitc.clark@stephens-cantrell.biz,teacher,True,2024-06-06 04:01:23.600708,2024-03-28 03:16:27.908266
22,tea_jose.zuniga,49972966c7272d1422279b86ac918d7a8a8199705a95e667a74c44679da0d0e9,C8YVMU2x&I,tea_jose.zuniga@cole-sanchez.com,teacher,True,2025-03-14 13:23:52.465748,2024-10-19 15:07:30.822371
23,tea_debo.lynch,105fa90965d2f632a226c10e0fba4ec43ac7807e0e64e3aa1f552006e352e5fd,urT3aT`zoyK,tea_debo.lynch@richards.com,teacher,True,2024-09-11 14:02:00.812200,2024-09-16 03:32:50.684881
24,tea_geor.martin,9bbecf559eea4fbbbcc7d005de0945ab1a8eea67a91c58f59022d03febbaf14e,eu<z9<Ip1!,tea_geor.martin@garcia.com,teacher,True,2024-09-24 16:00:52.434910,2024-05-17 12:15:13.610594
25,tea_noah.mayo,a15a7e93d5b719739a801cc61c6e0f611f8120021e0bf6a6e9e501cbb23038e8,2[b39LK!k,tea_noah.mayo@keller.com,teacher,True,2024-10-23 09:26:10.964329,2022-11-19 19:02:13.218510
26,tea_dani.hawkin,fa45bd926d68f7bd24d6f1489ef0cba05af336a70d836fc3728f1db5928570b2,2z8`n~#{x,tea_dani.hawkin@wyatt.org,teacher,True,2024-10-05 05:40:04.213434,2024-08-20 16:36:37.882071
27,tea_gabr.parson,007b2fe96ad4a73294df0907ea52260c6cd0af63910c7fcca9ea9c4c9a599862,c{zlgW0^N,tea_gabr.parson@ortiz-cooper.com,teacher,True,,2023-03-23 21:50:53.475820
28,tea_jere.stewar,1ead85f70d1db8e6d619b7e42be75962db7c144c026b013def177afb7bee605e,R29h$2:gM,tea_jere.stewar@miller.biz,teacher,True,2024-06-01 03:01:08.817807,2025-01-07 11:56:01.250402
29,tea_jose.clark,f0138f062b09ca2a99e83fc0e2b3e038275875194446a5e82ee27507b9b1e587,1FOgxfag.P,tea_jose.clark@kidd.com,teacher,True,2024-09-03 10:30:08.460060,2024-12-15 08:49:31.873945
30,tea_sher.walter,abc426715b44aee8074db38e79f5b7bd96e8a376b9a9e3e449dbe96ef420ddcd,m3xG!UQMom<b,tea_sher.walter@ellison.com,teacher,True,2025-04-21 00:25:03.431296,2022-06-14 17:59:12.687252
31,tea_leon.rios,e80f5548af683e28ed621c2d52e566ada79ad42621226e035318d16739937669,"pf+,yy`5m",tea_leon.rios@castro.com,teacher,True,2024-05-07 04:34:24.005158,2022-10-08 01:25:14.994261
32,tea_rand.rocha,07fb797169b1ccaceee17b3df2e59bcc2f16b4d090b0a76eb392dd2598150264,M8z&tfqy1(,tea_rand.rocha@clark-taylor.net,teacher,True,2025-03-18 18:58:41.488105,2023-02-17 04:32:10.397223
33,tea_step.baker,d49fb96c56531918e8db534f4de0dfc826c88f9144dff5f0430fd3a4d4c9b6fb,SU5|p3i91^#c,tea_step.baker@rhodes-chavez.net,teacher,True,2025-02-03 22:00:44.960430,2023-01-11 14:43:21.977783
34,tea_john.hoffma,feaf5833310b790b6af0e4e04455be738745fda553c2a7dc14ae61cd984bd87a,&$jv4$X)X,tea_john.hoffma@bauer-house.org,teacher,True,2024-10-01 13:27:36.202908,2024-09-24 07:02:16.722390
35,tea_jose.richar,78e2cb8ca61611520e72e2c41a152e2b942e541cfeca562eb234a1dd46d5b696,au_B+~b$6,tea_jose.richar@simpson-green.org,teacher,True,2024-12-19 01:31:34.796153,2024-05-31 23:42:46.710662
36,tea_rach.ross,e4ccc7f543ac5b4365b240ec2ea53b7211c64665ff920005e73414a295e9c6ab,VPk`(Hr0{L,tea_rach.ross@hudson.net,teacher,True,2024-11-16 03:35:55.618492,2024-11-30 00:45:52.676119
37,tea_jeff.bright,a3edaf8ae28c0cd90410ac7cd1379afe63dbaf43efa88275823cd6cc4c06e0c4,](A4CPIA,tea_jeff.bright@hicks.com,teacher,True,2024-06-14 00:49:20.589502,2024-06-17 06:23:50.170669
38,tea_will.davis,3ecfd95ecd206de70e698466600450cdb7a167fe906a18cef35e39ff9c3030ff,t5D3Vs9l@x6,tea_will.davis@medina-orozco.com,teacher,True,2025-03-09 02:38:56.126467,2022-09-16 18:37:16.723504
39,tea_bran.rodrig,aa993b614a3668aed50a728191fc1427c1fa8dd15487d318a24bf59a8b78e3f8,Y?]yisj2F,tea_bran.rodrig@beasley-smith.biz,teacher,True,2025-02-22 13:38:49.817035,2025-03-21 10:07:40.461594
40,tea_cour.conner,fbac9f66b6296b8a4695e745106c34ee6b4177eb8d8af05e413667baa71692b3,n*R`kzr9-4u,tea_cour.conner@mccormick.com,teacher,True,2025-02-11 11:18:16.223304,2024-08-20 15:29:14.248048
41,tea_robe.brown,433e7623a6050360dba0c33a9819d22deaa594cc40d9d7d3312056b25cc0f632,n*Ln$1saC,tea_robe.brown@harris.org,teacher,True,2024-11-04 04:55:16.030006,2023-11-28 10:35:06.982076
42,tea_patr.rice,f5e3b2a714e71f9b516d31565bca854f9d1ba471ac62e6c67eddd51e01d82b58,pUkf]tw2^,tea_patr.rice@hunter.net,teacher,True,2024-10-22 19:01:47.184927,2024-04-17 23:43:25.294586
43,tea_tash.smith,534960cfb82137c5e2f6bd6255eca1ec7eb6aaebe053bffbd6b396600a54b794,"VHjat,sOsX5",tea_tash.smith@nixon-walker.com,teacher,True,2024-07-21 11:52:01.324790,2023-03-11 20:02:12.728744
44,tea_jenn.herrer,f9e7ac2a5f6334e4844996f40c27a82bb3ed8026bb029cfeffed03d625edf9b6,io_2JslPqxX,tea_jenn.herrer@cole-calderon.com,teacher,True,2024-07-28 02:31:10.370086,2022-05-13 22:11:27.761072
45,tea_jose.rodrig,d7d2893e1debd90d7b4619511b0139b8b85f56e445fa07f327407607634a0e78,"/0];Qr,FX1(",tea_jose.rodrig@dean.com,teacher,True,2024-07-13 15:51:42.781611,2024-10-25 15:35:02.687347
46,tea_ryan.mckay,9f7251d6085dce3ad4ba3d3291331a8ee6447e4e9cf2cbd7fa94f16582dcedee,&DXk=1^_/C~l,tea_ryan.mckay@costa-lopez.com,teacher,True,2024-09-25 18:24:17.681506,2023-05-21 17:53:42.618829
47,tea_nanc.mason,ed99a9192a96786776ae221af361d0e9e788e615bdb0b74413d20085733bdf31,U)8rohSU,tea_nanc.mason@booker.com,teacher,True,2024-12-29 11:27:39.502426,2022-11-07 09:13:05.477533
48,tea_guy.harrel,9d01f1613a3fc16b7c69d33c10fe67ab5f059d8560fa8fce7745699fbef9c9b0,L6s(1FACh,tea_guy.harrel@kline.com,teacher,True,2025-01-23 15:52:52.029874,2023-05-29 20:59:09.053751
49,tea_kenn.fowler,9e0187fb5213e94305229d06ec3507d3b245b35703340b5b4596d7dc03f47aa1,Wd~2Vg~n.,tea_kenn.fowler@anderson-adams.com,teacher,True,2024-05-28 09:05:39.467935,2022-07-05 16:53:16.605773
50,tea_chel.hernan,7cd83a0d39e73f18ebefdb283cf7655db8d625ec17a2383c519aa56d09d1ef03,udsUskFjb-1t,tea_chel.hernan@simpson.com,teacher,True,2024-11-26 12:56:30.072512,2022-10-26 12:33:33.143397
51,tea_kath.ryan,224704d85ebb596d5717856e224bb521c8490d3a6edaabcd5ebb734477049cdf,^~M80R4:/,tea_kath.ryan@cuevas-allen.net,teacher,True,2024-12-25 02:36:10.464968,2022-07-08 21:09:12.554615
52,tea_kimb.smith,3a9368a6c5ce70aefbf3d5222f6772e48b28571c5541819aeed78dd52b32de05,2?6(H_#N,tea_kimb.smith@klein-collins.com,teacher,True,2024-06-25 20:03:59.398738,2023-03-04 06:08:34.281942
