teacher_id,user_id,school_id,first_name,middle_name,last_name,phone_number,employment_type,salary,join_date
1,1,7,Danielle,,Johnson,(811) 979-8641,full-time,44716.33,2023-11-24
2,2,3,Joshua,Jeffrey,Doyle,(533) 816-1876,full-time,79771.9,2016-10-31
3,3,7,Erica,Patricia,Miller,(994) 579-7062,substitute,46866.36,2023-02-15
4,4,9,Robert,Anthony,Robinson,(263) 721-9774,part-time,44312.58,2023-06-30
5,5,8,William,,Johnson,(858) 673-4534,full-time,69704.81,2018-08-23
6,6,8,James,,Santos,(892) 665-4018,full-time,58508.11,2020-01-08
7,7,9,Amy,,Robinson,(220) 232-2624,full-time,52988.09,2015-12-26
8,8,1,Bridget,Lisa,Smith,(880) 771-4143,full-time,76487.98,2020-05-30
9,9,9,Linda,,Wolfe,(849) 255-5116,full-time,69918.67,2017-07-31
10,10,3,Matthew,Eric,Bernard,(733) 200-7642,substitute,78200.82,2016-06-28
11,11,1,Matthew,Christopher,Davis,(342) 228-3894,full-time,76488.9,2016-01-02
12,12,5,Melanie,,Munoz,(300) 207-6563,full-time,73115.14,2017-04-27
13,13,4,Lindsay,Jessica,Herrera,(863) 447-5582,full-time,56434.55,2021-08-13
14,14,5,Teresa,Nicholas,Arnold,(612) 703-1740,full-time,61322.33,2019-11-29
15,15,9,Maria,,Montgomery,(718) 806-4304,full-time,40900.5,2020-11-18
16,16,1,Michelle,,Ray,(841) 697-5508,part-time,45413.54,2023-07-16
17,17,3,Janet,Brandon,Perez,(393) 901-9743,full-time,60671.46,2015-12-13
18,18,1,Keith,,Miller,(847) 451-6203,part-time,78264.27,2018-12-24
19,19,2,Jesse,,Garcia,(889) 373-8438,full-time,65615.5,2023-02-14
20,20,5,Joshua,Cynthia,Diaz,(284) 315-9009,full-time,47573.48,2023-04-06
21,21,2,Mitchell,,Clark,(226) 746-3465,full-time,71470.21,2015-06-20
22,22,2,Joseph,,Zuniga,(750) 629-5626,full-time,44937.87,2022-06-28
23,23,4,Deborah,,Lynch,(668) 350-2736,substitute,72271.13,2016-01-21
24,24,2,George,Jessica,Martin,(407) 539-8299,full-time,48200.32,2022-02-13
25,25,2,Noah,,Mayo,(394) 496-2774,full-time,42217.58,2018-03-26
26,26,9,Danielle,,Hawkins,(470) 568-6916,full-time,44764.54,2024-03-18
27,27,5,Gabrielle,Megan,Parsons,(261) 736-7963,substitute,69518.64,2016-10-09
28,28,5,Jeremy,Antonio,Stewart,(790) 341-4810,full-time,59605.19,2017-08-11
29,29,8,Joseph,,Clark,(509) 713-3047,full-time,58800.46,2023-08-27
30,30,2,Sherri,,Walter,(335) 543-7235,full-time,74634.74,2020-05-09
31,31,10,Leonard,,Rios,(380) 334-3122,part-time,50316.14,2022-01-05
32,32,2,Randall,,Rocha,(959) 554-1452,full-time,64792.91,2023-12-09
33,33,5,Stephen,,Baker,(803) 206-1072,full-time,52846.95,2021-01-25
34,34,8,John,,Hoffman,(624) 635-6367,full-time,51661.03,2018-06-28
35,35,8,Jose,,Richards,(922) 810-4963,full-time,67316.48,2022-06-30
36,36,1,Rachael,,Ross,(541) 579-5176,full-time,70792.69,2021-11-14
37,37,2,Jeffrey,,Bright,(805) 686-3380,part-time,67811.67,2020-06-08
38,38,3,William,,Davis,(625) 751-2705,full-time,64251.51,2019-11-30
39,39,8,Brandon,,Rodriguez,(474) 449-8201,full-time,79846.39,2021-04-14
40,40,8,Courtney,,Conner,(828) 430-6312,full-time,40163.7,2020-12-20
41,41,4,Robert,,Brown,(336) 837-1726,full-time,63597.26,2024-01-31
42,42,1,Patrick,Wendy,Rice,(536) 375-4050,full-time,67038.35,2018-06-25
43,43,9,Tasha,Michelle,Smith,(614) 688-4138,part-time,69027.23,2021-11-26
44,44,8,Jennifer,Erin,Herrera,(520) 407-1314,full-time,53786.84,2018-02-13
45,45,3,Joseph,Danielle,Rodriguez,(798) 201-2686,full-time,67056.01,2018-08-11
46,46,7,Ryan,Shawn,Mckay,(389) 273-4489,full-time,43395.71,2017-12-25
47,47,9,Nancy,Jose,Mason,(365) 238-8910,full-time,55650.53,2022-11-29
48,48,2,Guy,Rita,Harrell,(415) 937-5721,part-time,62022.32,2020-06-19
49,49,9,Kenneth,,Fowler,(706) 333-6238,substitute,47954.61,2023-05-31
50,50,6,Chelsea,,Hernandez,(948) 701-9745,part-time,45653.87,2021-02-05
51,51,8,Kathryn,,Ryan,(576) 789-7820,full-time,60657.87,2022-08-09
52,52,3,Kimberly,Alyssa,Smith,(940) 393-1558,full-time,73228.77,2017-03-31
53,53,8,Mario,Andrew,Hickman,(590) 201-7876,full-time,46153.05,2021-07-09
54,54,8,Natasha,,Decker,(235) 967-6357,full-time,73891.06,2015-12-06
55,55,3,Kyle,,Brown,(409) 225-4341,full-time,62425.4,2015-10-15
56,56,9,Natalie,,Arroyo,(337) 422-2409,part-time,44659.67,2021-11-11
57,57,4,Christopher,Todd,Jones,(549) 809-6929,full-time,67081.99,2020-08-01
58,58,9,Kathleen,,Cannon,(439) 313-8910,full-time,53838.57,2022-06-12
59,59,7,David,Thomas,Pierce,(947) 864-7515,full-time,60565.62,2017-06-05
60,60,3,Joseph,,Brennan,(972) 306-8423,full-time,41710.94,2018-07-10
61,61,5,Rodney,,Lewis,(651) 843-2421,full-time,78045.36,2018-07-22
62,62,3,Amber,,Blair,(372) 649-2387,full-time,54570.87,2023-02-27
63,63,6,James,,Collins,(399) 773-8283,full-time,75989.88,2020-08-23
64,64,2,Wanda,,Santos,(282) 203-9165,full-time,54064.97,2015-07-29
65,65,2,Samuel,,Holmes,(801) 306-1110,full-time,74275.7,2019-07-24
66,66,8,David,,Walker,(415) 829-6596,full-time,74272.75,2021-05-05
67,67,1,Matthew,Brianna,Hall,(688) 484-3965,full-time,79583.9,2018-10-30
68,68,2,Jeffrey,Chad,Welch,(575) 289-6892,part-time,73998.47,2022-10-22
69,69,1,Jeremy,,Whitehead,(717) 546-7470,full-time,75727.87,2023-01-06
